476,2023-11-14,243.21
433,2024-03-22,323.81
207,2023-02-07,80.52
30,2023-05-20,129.94
675,2023-10-12,275.8
987,2023-02-13,361.51
57,2023-01-21,429.93
322,2023-03-27,301.2
923,2023-03-07,477.59
688,2024-01-08,329.06
407,2023-04-03,471.64
242,2023-05-24,56.85
956,2024-05-27,61.2
973,2024-08-17,387.78
258,2024-06-21,248.73
244,2023-04-03,300.31
338,2023-11-17,416.33
826,2024-02-04,374.44
958,2023-08-30,212.01
110,2023-05-28,88.4
451,2023-10-09,204.78
503,2023-02-27,267.2
325,2023-04-26,273.33
700,2024-05-01,123.93
901,2023-10-12,392.35
372,2023-05-29,238.14
842,2024-01-12,154.78
862,2023-02-05,369.99
708,2023-02-25,458.81
260,2023-09-03,276.81
655,2023-11-13,479.28
925,2024-01-07,406.31
548,2023-05-05,433.61
398,2024-03-29,4.93
950,2024-02-07,489.02
309,2023-09-19,46.03
305,2023-08-30,105.98
938,2023-06-14,219.98
901,2023-11-21,406.31
809,2024-02-21,17.91
843,2023-03-24,389.95
483,2024-05-18,368.73
735,2023-12-07,211.76
845,2023-04-13,81.01
519,2023-09-25,34.12
617,2024-03-06,364.89
756,2024-07-14,164.06
781,2023-01-29,27.0
646,2023-07-08,222.26
4,2023-05-20,200.93
322,2023-11-09,288.33
162,2023-04-24,125.55
868,2023-05-14,297.41
812,2024-02-25,469.77
490,2024-04-07,436.88
267,2023-05-17,87.57
819,2023-12-02,141.62
425,2023-03-28,184.43
898,2024-02-07,189.28
230,2024-08-07,11.35
946,2023-01-24,279.71
929,2023-08-23,45.4
204,2024-04-18,131.63
51,2023-06-22,201.12
615,2024-03-15,130.82
982,2023-04-02,184.59
121,2024-08-03,8.04
446,2024-06-22,386.91
848,2024-04-09,337.13
230,2023-05-02,357.07
969,2023-07-15,431.11
295,2023-09-30,373.48
134,2024-01-27,216.22
615,2023-07-31,108.57
745,2023-10-17,338.92
185,2024-03-04,204.85
30,2023-05-30,145.81
242,2023-09-26,309.22
379,2023-09-12,291.87
88,2024-04-14,6.15
893,2023-05-17,162.3
704,2024-02-12,106.9
726,2024-01-28,212.22
75,2023-09-20,48.54
54,2023-03-02,167.1
483,2023-08-29,454.21
6,2023-02-16,127.57
310,2024-01-26,488.78
136,2024-01-15,484.06
43,2024-07-26,290.66
174,2023-09-24,252.37
899,2023-12-14,234.57
325,2023-04-02,355.42
146,2024-03-19,130.94
46,2023-11-17,489.28
893,2024-05-26,486.71
766,2023-10-15,180.94
290,2024-03-16,451.49
628,2023-09-27,414.97
530,2023-09-28,157.19
324,2023-06-18,368.7
783,2024-05-18,475.08
874,2024-07-23,461.5
55,2024-03-26,95.27
236,2023-02-25,92.39
267,2024-04-26,82.61
447,2024-04-23,58.9
42,2024-05-21,221.32
497,2024-07-28,229.42
867,2023-04-26,360.16
127,2023-06-01,175.45
890,2023-07-28,142.77
768,2023-06-22,254.86
577,2023-10-07,445.56
598,2023-08-06,499.0
539,2023-01-05,383.66
427,2023-07-04,460.29
787,2023-09-10,249.56
909,2023-04-07,165.0
698,2023-10-19,490.69
404,2023-05-05,187.41
858,2023-04-19,162.45
84,2023-01-30,230.66
465,2024-05-06,314.55
609,2023-10-03,329.35
994,2023-12-04,22.88
333,2024-04-08,473.76
133,2024-08-05,106.47
821,2023-02-19,322.18
818,2023-11-27,28.71
561,2023-03-14,476.0
95,2024-01-26,200.03
246,2023-07-02,482.56
92,2024-02-13,11.24
167,2023-08-02,194.86
292,2024-02-17,323.94
124,2023-06-07,149.97
754,2024-03-18,403.37
926,2023-11-14,342.8
368,2023-05-15,333.09
525,2024-01-12,100.74
907,2024-04-01,194.66
577,2023-10-02,300.57
775,2023-04-03,211.85
629,2024-01-13,93.99
96,2024-03-12,21.18
997,2023-12-16,232.3
664,2023-08-18,343.43
954,2023-06-08,248.17
86,2024-06-21,146.06
82,2024-03-23,453.7
308,2024-05-04,75.15
701,2023-05-11,451.55
536,2023-09-12,214.44
49,2024-08-05,275.95
526,2023-02-16,54.71
423,2024-03-11,48.15
833,2024-08-05,127.44
600,2023-09-18,41.8
17,2024-05-30,57.85
184,2024-04-18,393.3
47,2024-02-07,42.56
322,2023-11-01,294.02
776,2024-04-10,335.46
350,2023-09-29,483.39
217,2023-07-11,93.36
893,2023-09-23,337.03
548,2024-03-20,9.94
120,2024-02-09,7.64
472,2024-05-03,346.21
311,2024-05-13,309.63
708,2024-01-05,337.23
824,2024-02-09,152.03
139,2023-05-09,7.92
836,2023-04-25,8.93
880,2023-07-12,14.38
665,2024-05-07,73.43
447,2023-09-05,421.2
196,2024-07-05,43.96
